COMPONENTE;VERSIÓN;QTY;PART NUMBER;DESCRIPTION;PROVEEDOR;FABRICANTE;PRECIO
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-PSUP-01;Chapa plataforma superior. Chapa 2 mm;;;
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-FRA1-01;Estructura tubular de la base superior;;;
2DOF-150-17-KIT_MET;17;4;2DOF-150-17-PSL1-01;Soporte frontal del fuelle. Chapa 1,5 mm;;;
2DOF-150-17-KIT_MET;17;4;2DOF-150-17-PSL2-01;Soporte lateral del fuelle. Chapa 1,5 mm;;;
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-BASK-01;Base plataforma inferior. Chapa 5 mm.;;;
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-COLU-02;Estructura Tubular. ISO 4019 - 21.3x3.0 - 172;;;
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-TAPA-01;Chapa de 5 mm;;;
2DOF-150-17-KIT_MET;17;1;2DOF-150-17-PIEB-01;Chapa de 6 mm;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-KRT1-01;Cartela. Chapa de 3 mm;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-KRT2-01;Cartela. Chapa de 3 mm;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-LEVI-01;Leva. Parte superior;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-LEVS-01;Leva. Parte inferior;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-VARE-01;ISO 1035/1-1980 Hot rolled steel bar. Barra de empujador;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-SOPB-01;Soporte cabeza articulada. Parte 1. Chapa 3 mm;;;
2DOF-150-17-KIT_MET;17;4;2DOF-150-17-BRID-01;Soporte cabeza articulada. Parte 2. Chapa 6 mm;;;
2DOF-150-17-KIT_MET;17;2;2DOF-150-17-SIND-01;Soporte para inductivo. Chapa 1 mm;;;
;;;;;;;
;;;;;;;
;;;; ;;;
